okita no	o.ki.ta.no
ohayoo	o.ha.yoo
oshikko wa	o.shi.kko.wa
soo	soo
ofuton agena	o.fu.ton.a.ge.na
ofuton ageyoo	o.fu.ton.a.ge.yoo
doite	do.i.te
kore dare kara	ko.re.da.re.ka.ra
Oneechan ni arigatoo iyoo ne	O.nee.chan.ni.a.ri.ga.too.i.yoo.ne
saki ni oyoofuku kikaeyoo	sa.ki.ni.o.yoo.fu.ku.ki.ka.e.yoo
Mama kirai yo	Ma.ma.ki.ra.i.yo
oshikko wa	o.shi.kko.wa
tachinasai	ta.chi.na.sa.i
tachinasai	ta.chi.na.sa.i
nejite ka ne	ne.ji.te.ka.ne
nakanaide futsuudoori ni iinasai	na.ka.na.i.de.fu.tsuu.doo.ri.ni.ii.na.sa.i
jidoosha dashite minasai	ji.doo.sha.da.shi.te.mi.na.sa.i
akachan chiisai kara yasashuu shite agete ne to itteru desho	a.ka.chan.chii.sa.i.ka.ra.ya.sa.shuu.shi.te.a.ge.te.ne.to.i.tte.ru.de.sho
doko ni itta no ka ne	do.ko.ni.i.tta.no.ka.ne
motte konai janai	mo.tte.ko.na.i.ja.na.i
tabenakya kondo yoochien ni ikenai yo	ta.be.na.kya.kon.do.yoo.chi.en.ni.i.ke.na.i.yo
onigiri shitara taberu ka ne	o.ni.gi.ri.shi.ta.ra.ta.be.ru.ka.ne
kite goran	ki.te.go.ran
onigiri dekita yo	o.ni.gi.ri.de.ki.ta.yo
tabenakya gyuunyuu mo nanimo agenai yo	ta.be.na.kya.gyuun.yuu.mo.na.ni.mo.a.ge.na.i.yo
ato de gohan tabenakya dame yo	a.to.de.go.han.ta.be.na.kya.da.me.yo
henji bakkashi anta wa	hen.ji.ba.kka.shi.an.ta.wa
Tooruchan ni jidoosha kashite agenasai	Too.ru.chan.ni.ji.doo.sha.ka.shi.te.a.ge.na.sa.i
suki da kara	su.ki.da.ka.ra
chiisai mono ni shinsetsu ni shite agenasai	chii.sa.i.mo.no.ni.shin.se.tsu.ni.shi.te.a.ge.na.sa.i
kotori no omocha dashite misete agenasai	ko.to.ri.no.o.mo.cha.da.shi.te.mi.se.te.a.ge.na.sa.i
jibun de hirottara ii desho	ji.bun.de.hi.ro.tta.ra.ii.de.sho
Tooruchan ni misete iwanakya	Too.ru.chan.ni.mi.se.te.i.wa.na.kya
kore nani	ko.re.na.ni
otete iretara dame na no ne	o.te.te.i.re.ta.ra.da.me.na.no.ne
kore nani	ko.re.na.ni
soo ne sukoppu	soo.ne.su.ko.ppu
joro ne	jo.ro.ne
kore nani	ko.re.na.ni
hooki ne	hoo.ki.ne
kore nani	ko.re.na.ni
sennuki ne	sen.nu.ki.ne
kashite agenasai yo	ka.shi.te.a.ge.na.sa.i.yo
chiisai ko kawaigaru no yo	chii.sa.i.ko.ka.wa.i.ga.ru.no.yo
issho ni asobu no to itta desho	i.ssho.ni.a.so.bu.no.to.i.tta.de.sho
sonna koto iu ko wa atchi no ma de hitori de asobinasai	son.na.ko.to.i.u.ko.wa.a.tchi.no.ma.de.hi.to.ri.de.a.so.bi.na.sa.i
