꼼 어딨니 꼼	꼼.어.딨.니.꼼
꼼	꼼
꼼 요깄잖아	꼼.요.깄.잖.아
캉캉	캉.캉
꼼이 뭔데	꼼.이.뭔.데
꼼떼용	꼼.떼.용
지원아 아빠 오면 뭐라 그런다고	지.원.아.아.빠.오.면.뭐.라.그.런.다.고
자전거 고쳐	자.전.거.고.쳐
이거 이거	이.거.이.거
자전거 어떻게 해	자.전.거.어.떻.게.해
아빠한테	아.빠.한.테
아이구 잘하네	아.이.구.잘.하.네
아까 누구 왔다 갔어	아.까.누.구.왔.다.갔.어
엄마랑 누구 또 왔었어	엄.마.랑.누.구.또.왔.었.어
아찌	아.찌
응	응
또	또
응 차 안고	응.차.안.고
으응 엄마 어디 갔다 왔어	으.응.엄.마.어.디.갔.다.왔.어
조기가 어딘데	조.기.가.어.딘.데
오오 그랬어	오.오.그.랬.어
아빠는 어디 가셨어	아.빠.는.어.디.가.셨.어
뭐	뭐
다시	다.시
아빠 어디 가셨어	아.빠.어.디.가.셨.어
으응 	으.응
아까는 회사 갔다 그래 놓고 	아.까.는.회.사.갔.다.그.래.놓.고
까까 사러 갔어	까.까.사.러.갔.어
으응	으.응
이모 할머니는	이.모.할.머.니.는
으응	으.응
지원이 자전거 고장 났어	지.원.이.자.전.거.고.장.났.어
어떻할꺼야	어.떻.할.꺼.야
으응 아빠가 고쳐	으.응.아.빠.가.고.쳐
응 언제	응.언.제
아빠가 자전거 언제 고쳐줘	아.빠.가.자.전.거.언.제.고.쳐.줘
꼭 눌르는 거 고쳐줘	꼭.눌.르.는.거.고.쳐.줘
응 언제	응.언.제
찐 꺼	찐.꺼
으응 	으.응
지원이 엄마 학교 가는 동안 뭐하고 놀았어	지.원.이.엄.마.학.교.가.는.동.안.뭐.하.고.놀.았.어
함머니하고 놀았어	함.머.니.하.고.놀.았.어
응	응
그리고 또	그.리.고.또
엄마하고	엄.마.하.고
또	또
아찌하고	아.찌.하.고
아찌 아니고 이모고	아.찌.아.니.고.이.모.고
놀았어	놀.았.어
또 누구하고 놀았어	또.누.구.하.고.놀.았.어
안놀았어	안.놀.았.어
으응	으.응
아기랑 놀았어	아.기.랑.놀.았.어
아이구 착하네	아.이.구.착.하.네
