누구니 이사람	누.구.니|이.사.람
엄마가 어떡하고 있어	엄.마.가|어.떡.하.고|있.어
코자	코.자
하하 야 엄마가 지원이 안고 있잖아 눈 감았다고 코 잔다고	하.하|야|엄.마.가|지.원.이|안.고|있.잖.아|눈|감.았.다.고|코|잔.다.고
아니야 엄마 안 잤어 	아.니.야|엄.마|안|잤.어
지원이 하도 이뻐서 웃다 보니까 눈이 감긴거야 	지.원.이|하.도|이.뻐.서|웃.다|보.니.까|눈.이|감.긴.거.야
코 자는 거야	코|자.는|거.야
응 그래 코 자	응|그.래|코|자
엄마 코 자고 누구냐	엄.마|코|자.고|누.구.냐
아빠가 또 코 자구	아.빠.가|또|코|자.구
응 	응
응 어	응|어
지원이 뭐 하니	지.원.이|뭐|하.니
응응응 울어	응.응.응|울.어
이거 아까 본 게 왜 또 어	이.거|아.까|본|게|왜|또|어
지원이인가 보다	지.원.이.인.가|보.다
얼굴이 근데 왜 이렇 게 다르니	얼.굴.이|근.데|왜|이.렇|게|다.르.니
응	응
야 얘 누구니	야|얘|누.구.니
이 까까 머리 애	이|까.까|머.리|애
누구니	누.구.니
얘	얘
응	응
누구 같애	누.구|같.애
쟤	쟤
응	응
쟤 누구야	쟤|누.구.야
응	응
응 둥기둥기 해주고 있지	응|둥.기.둥.기|해.주.고|있.지
누구를	누.구.를
아빠가 누구를 둥기둥기 해주고 있어	아.빠.가|누.구.를|둥.기.둥.기|해.주.고|있.어
찐 아기를	찐|아.기.를
왜 찐이는 아기때 머리가 없었네	왜|찐.이.는|아.기.때|머.리.가|없.었.네
응 머리가 없었네	응|머.리.가|없.었.네
응 거기 있다	응|거.기|있.다
응거기 있어	응.거.기|있.어
머리카락만 없어	머.리.카.락.만|없.어
응 	응
아	아
찐 아기가 지금 뭐 하고 있니	찐|아.기.가|지.금|뭐|하.고|있.니
기어다닌다	기.어.다.닌.다
어어 얘 누구니	어.어|얘|누.구.니
얘	얘
어그 어 그 뭐니	어.그|어|그|뭐.니
그게 뭔데	그.게|뭔.데
전화기	전.화.기
오 유모차에 걸려서 전화가 아퍼 지금	오|유.모.차.에|걸.려.서|전.화.가|아.퍼|지.금
그래 그래 맞다	그.래|그.래|맞.다
응	응
전화가 아파 보이네	전.화.가|아.파|보.이.네
응 전화	응|전.화
응 여기 있지	응|여.기|있.지
요건 뭐니	요.건|뭐.니
그것도 있니 지원이	그.것.도|있.니|지.원.이
찐이다	찐.이.다
응 그래	응|그.래
전화 아퍼	전.화|아.퍼
응 	응
응 아퍼	응|아.퍼
응 지원이 착해서 전화 아픈 거까지 걱정 해 주네	응|지.원.이|착.해.서|전.화|아.픈|거.까.지|걱.정|해|주.네
이건 누가 사 줬니	이.건|누.가|사|줬.니
아니 이모가 사줬어 이모가 사준 인형이야	아.니|이.모.가|사.줬.어|이.모.가|사.준|인.형.이.야
지원이 크리스마스 선물로 	지.원.이|크.리.스.마.스|선.물.로
응 저기 있지	응|저.기|있.지
응 어	응|어
얘는 누구니	얘.는|누.구.니
응 아	응|아
지원이 빨가 벗었네	지.원.이|빨.가|벗.었.네
뭐 할라 그러니 얘	뭐|할.라|그.러.니|얘
물에 들어갈라구	물.에|들.어.갈.라.구
뭘 그렇게 유심히 보니	뭘|그.렇.게|유.심.히|보.니
흐흐흐 지원이 이땐 이도 없었 다	흐.흐.흐|지.원.이|이.땐|이.도|없.었|다
응 지금은 이가 그렇게 많지	응|지.금.은|이.가|그.렇.게|많.지
어 화장품이야 그거는	어|화.장.품.이.야|그.거.는
응 그래	응|그.래
어	어
지원이 이제 섰네	지.원.이|이.제|섰.네
드디어 선 사진이 나왔네	드.디.어|선|사.진.이|나.왔.네
이땐 지원이 뭐 했니	이.땐|지.원.이|뭐|했.니
응	응
아빠 때찌하고 있니	아.빠|때.찌.하.고|있.니
아빠 까 응 아빠가 까까 주는거야	아.빠|까|응|아.빠.가|까.까|주.는.거.야
아빠 까까 먹으라고 주는거야	아.빠|까.까|먹.으.라.고|주.는.거.야
누가	누.가
으응 찐이가	으.응|찐.이.가
이거 뭐 하니 두사람이	이.거|뭐|하.니|두.사.람.이
응 뭐 하고 있어	응|뭐|하.고|있.어
맘맘다	맘.맘.다
야	야
니가 말을 해야지 나만 말하니	니.가|말.을|해.야.지|나.만|말.하.니
아이구 지겹다	아.이.구|지.겹.다
얜 누구야	얜|누.구.야
함머니야	함.머.니.야
허허 발만 봐도 할머닌 지 알아	허.허|발.만|봐.도|할.머.닌|지|알.아
까꿍 누구니	까.꿍|누.구.니
이모네	이.모.네
여긴 왠 사진들이 이렇게 다 꼽아져있냐	여.긴|왠|사.진.들.이|이.렇.게|다|꼽.아.져.있.냐
그참 찐이가 뭐하니	그.참|찐.이.가|뭐.하.니
까까 먹었어	까.까|먹.었.어
아	아
찐이 머리에 뭐 있니	찐.이|머.리.에|뭐|있.니
하고 싶은 말 해 봐	하.고|싶.은|말|해|봐
조금씩 먹어	조.금.씩|먹.어
지원이 어제 어디 갔다 왔어	지.원.이|어.제|어.디|갔.다|왔.어
응 	응
음 	음
맛있니	맛.있.니
이거 뭐니	이.거|뭐.니
응	응
그거 뭐라 그래	그.거|뭐.라|그.래
얘 지원아 이제 또 하자	얘|지.원.아|이.제|또|하.자
녹음 하는 거야 지원이 이거 뭐라 그랬지	녹.음|하.는|거.야|지.원.이|이.거|뭐.라|그.랬.지
누구 집	누.구|집
진 집	진|집
응 그거 만지지마 너 녹음 안 돼	응|그.거|만.지.지.마|너|녹.음|안|돼
이거는 누구니	이.거.는|누.구.니
응	응
손	손
누구	누.구
얘 얘 얘 누구라고	얘|얘|얘|누.구.라.고
얘 누구라구	얘|누.구.라.구
그게 뭔 데	그.게|뭔|데
키머 너 아까 말 잘 하는거 같더니 왜 또 못 해	키.머|너|아.까|말|잘|하.는.거|같.더.니|왜|또|못|해
응	응
얘 누구야	얘|누.구.야
에이 파다만 해	에.이|파.다.만|해
얘 누구야	얘|누.구.야
응 토끼지	응|토.끼.지
어이구 꼬까구	어.이.구|꼬.까.구
요거는	요.거.는
응 꼬까 또 있어	응|꼬.까|또|있.어
얘는	얘.는
말	말
어	어
너 인제 말도 외웠구나 너	너|인.제|말.도|외.웠.구.나|너
말 어이구 착 해	말|어.이.구|착|해
얘는	얘.는
숭	숭
원숭이	원.숭.이
원숭 해봐	원.숭|해.봐
원숭 	원.숭
에이구 이거는	에.이.구|이.거.는
이거는 지원이 발 신발	이.거.는|지.원.이|발|신.발
이거는	이.거.는
집 지원이 집	집|지.원.이|집
으응 요거는	으.응|요.거.는
뭐야	뭐.야
그게 뭔데	그.게|뭔.데
얘는 누구야	얘.는|누.구.야
새	새
응	응
얘는	얘.는
그게 뭐야 갑자기 이 가	그.게|뭐.야|갑.자.기|이|가
응	응
새 어디 있어	새|어.디|있.어
어디	어.디
요렇게 찝어봐	요.렇.게|찝.어.봐
응 	응
쪽 고기 있어	쪽|고.기|있.어
그럼 나무는	그.럼|나.무.는
거기 있어	거.기|있.어
응 	응
그 다음에 그러면 또 요거 뭐니	그|다.음.에|그.러.면|또|요.거|뭐.니
연필	연.필
연필 해 봐	연.필|해|봐
응 똑 같은 거 거기 있네	응|똑|같.은|거|거.기|있.네
그치	그.치
그러네요 아가씨	그.러.네.요|아.가.씨
응 하나 둘 새타	응|하.나|둘|새.타
아니지 하나 둘 셋 넷 다 	아.니.지|하.나|둘|셋|넷|다
다시 해봐	다.시|해.봐
헤헤 네엣 하나 둘 	헤.헤|네.엣|하.나|둘
응 하나 둘 셋 다야	응|하.나|둘|셋|다.야
어이구 하나 둘 셋 넷은 없구 다섯이야	어.이.구|하.나|둘|셋|넷.은|없.구|다.섯.이.야
이건 뭐야	이.건|뭐.야
으응 의자니까 앉어 하는거야	으.응|의.자.니.까|앉.어|하.는.거.야
어이구 앉어 하는 거의 반대말은 뭐니	어.이.구|앉.어|하.는|거.의|반.대.말.은|뭐.니
응	응
앉어 의 반대말이 뭐니	앉.어|의|반.대.말.이|뭐.니
지원이 앉았다가 또 뭐 해	지.원.이|앉.았.다.가|또|뭐|해
서	서
응 섰다가 뭐 하니	응|섰.다.가|뭐|하.니
모르겠지 너	모.르.겠.지|너
다음에 이거 보자	다.음.에|이.거|보.자
이거 누구니	이.거|누.구.니
오 손 들고 있어	오|손|들.고|있.어
요건 찐이 하나	요.건|찐.이|하.나
하나지	하.나.지
요거는 몇개야	요.거.는|몇.개.야
또	또
여기 둘 밖에 없는데	여.기|둘|밖.에|없.는.데
여기는 몇사람 있어	여.기.는|몇.사.람|있.어
응	응
응 그래	응|그.래
야 여기는 몇 사람 있어	야|여.기.는|몇|사.람|있.어
하나 응	하.나|응
하나	하.나
또	또
응 하나 둘 셋이야	응|하.나|둘|셋.이.야
너 졸려 죽겠지	너|졸.려|죽.겠.지
아니야	아.니.야
요거는	요.거.는
여기는 몇사람	여.기.는|몇.사.람
응	응
그거 봤잖아	그.거|봤.잖.아
야 요거 하자	야|요.거|하.자
요거 뭐니	요.거|뭐.니
그건 뭐 하는거야	그.건|뭐|하.는.거.야
요거랑 요거랑 똑같애	요.거.랑|요.거.랑|똑.같.애
이거랑 이거랑	이.거.랑|이.거.랑
왜 똑 같애	왜|똑|같.애
앉어 가지고 뭐해	앉.어|가.지.고|뭐.해
이거는 뭐야	이.거.는|뭐.야
이거는 상이구	이.거.는|상.이.구
이거는	이.거.는
응 앉어 상	응|앉.어|상
상이고 이거는 의자로 앉는 거고	상.이.고|이.거.는|의.자.로|앉.는|거.고
앉어 상	앉.어|상
책상하고 의자를 앉어 상	책.상.하.고|의.자.를|앉.어|상
그랬어요	그.랬.어.요
이건 뭐예요	이.건|뭐.예.요
어는 게 빵이야	어.는|게|빵.이.야
아 그거 빵빵 이라구	아|그.거|빵.빵|이.라.구
응 아빠 빠빵	응|아.빠|빠.빵
아빠 빠빵 보다 훨씬 큰 차같다	아.빠|빠.빵|보.다|훨.씬|큰|차.같.다
요거는	요.거.는
응 찐이가 줄넘기해	응|찐.이.가|줄.넘.기.해
요거는	요.거.는
응 	응
응 이거는 닭이니까 엄마 삐삐고 병아리는 찐 아기 삐삐고	응|이.거.는|닭.이.니.까|엄.마|삐.삐.고|병.아.리.는|찐|아.기|삐.삐.고
아 이쁜 거 나왔다	아|이.쁜|거|나.왔.다
이 건 뭐니	이|건|뭐.니
껌 	껌
이거는	이.거.는
이거는 뭐 같애	이.거.는|뭐|같.애
응	응
때옹	때.옹
야옹	야.옹
응 야옹이	응|야.옹.이
요거는	요.거.는
이거는 뭐야	이.거.는|뭐.야
응 상에 앉아요	응|상.에|앉.아.요
의자는 상 앉는거야	의.자.는|상|앉.는.거.야
아이구 잘하네	아.이.구|잘.하.네
요 사람은 아빠야	요|사.람.은|아.빠.야
응 아빠가 해군이구나	응|아.빠.가|해.군.이.구.나
헤헤헤 웃습네	헤.헤.헤|웃.습.네
그다음에 또 재미난 책 뭐 있나	그.다.음.에|또|재.미.난|책|뭐|있.나
요거 보자	요.거|보.자
요거 뭐니	요.거|뭐.니
이거 뭐	이.거|뭐
응	응
아니 말로 해 봐	아.니|말.로|해|봐
아닌데	아.닌.데
똑같애	똑.같.애
이거 뭐라 그래	이.거|뭐.라|그.래
응	응
아빠 것도 있어 이거 뭐라 그래	아.빠|것.도|있.어|이.거|뭐.라|그.래
안경	안.경
응	응
가서 쉬 하고 오세요	가.서|쉬|하.고|오.세.요
지원이 쉬하고 와	지.원.이|쉬.하.고|와
옳지 착하다	옳.지|착.하.다
