안녕.안녕히 가세요	안.녕.안.녕.히.가.세.요
좀 있다 봬요	좀.있.다.봬.요
우와.궁금하지	우.와.궁.금.하.지
이름야 과자 좀 먹어 볼까	이.름.야.과.자.좀.먹.어.볼.까
응	응
응	응
이름야 여기 뭐 이렇게 많니	이.름.야.여.기.뭐.이.렇.게.많.니
신기하다	신.기.하.다
응	응
엄마도 여기는 처음 와 본다	엄.마.도.여.기.는.처.음.와.본.다
응	응
이야.운동장	이.야.운.동.장
산도 있고	산.도.있.고
응	응
이제 봄이다.야	이.제.봄.이.다.야
과자 먹고 싶어요	과.자.먹.고.싶.어.요
와.완전 진짜 집이네	와.완.전.진.짜.집.이.네
응	응
우리 집 거랑 쪼끔 다른가	우.리.집.거.랑.쪼.끔.다.른.가
소리는 안 나네	소.리.는.안.나.네
전원	전.원
으응.으응.이거 어떡하는 거지	으.응.으.응.이.거.어.떡.하.는.거.지
응	응
어떻게 하는 거예요	어.떻.게.하.는.거.예.요
타 볼까	타.볼.까
이게 소리가 안 나네	이.게.소.리.가.안.나.네
엄마도 소리 좀 듣고 싶은데	엄.마.도.소.리.좀.듣.고.싶.은.데
어.서기도 하네	어.서.기.도.하.네
어.이게 신기해	어.이.게.신.기.해
아이 좋아	아.이.좋.아
구슬	구.슬
우와	우.와
이것도 돌아가는 것 같은데	이.것.도.돌.아.가.는.것.같.은.데
이렇게	이.렇.게
경사 조작	경.사.조.작
이름야.이거 말도 타 볼까	이.름.야.이.거.말.도.타.볼.까
말	말
자	자
이것 좀 줘	이.것.좀.줘
과자	과.자
아 하 아이 맛있어	아.하.아.이.맛.있.어
이름야 엄마도	이.름.야.엄.마.도
아	아
어.아이 고마워.아.떨어졌구나	어.아.이.고.마.워.아.떨.어.졌.구.나
어머 아 고맙습니다	어.머.아.고.맙.습.니.다
떨어진 거	떨.어.진.거
먹을 거예요	먹.을.거.예.요
먹을 거예요	먹.을.거.예.요
응 뭔가 신기하지	응.뭔.가.신.기.하.지
응.과자 먹어	응.과.자.먹.어
우와	우.와
뚜껑	뚜.껑
어.뚜껑 반 방향이 반대다.다시	어.뚜.껑.반.방.향.이.반.대.다.다.시
아이 맛있어요	아.이.맛.있.어.요
고마워	고.마.워
아이 착해라	아.이.착.해.라
이제 고만큼만 먹자	이.제.고.만.큼.만.먹.자
요거는 쫌 있다가	요.거.는.쫌.있.다.가
우와.엄마 이거 타고 싶은데	우.와.엄.마.이.거.타.고.싶.은.데
이름도 이거 타고 싶지 않아	이.름.도.이.거.타.고.싶.지.않.아
우와 여기 더 많다 장난감	우.와.여.기.더.많.다.장.난.감
어.이거 카트도 있네	어.이.거.카.트.도.있.네
장난감이 많아요	장.난.감.이.많.아.요
우와.이거 이름 끌 수 있겠는데	우.와.이.거.이.름.끌.수.있.겠.는.데
어.어떻게 생각해	어.어.떻.게.생.각.해
잡을까	잡.을.까
응	응
우와.구슬	우.와.구.슬
응	응
뭔가 소리가 나는 게 있음 참 좋을 텐데	뭔.가.소.리.가.나.는.게.있.음.참.좋.을.텐.데
음악은 없나	음.악.은.없.나
어	어
응	응
이름 재밌어	이.름.재.밌.어
구슬 몇 개	구.슬.몇.개
다섯 개	다.섯.개
빨간색	빨.간.색
초록.아 주황색	초.록.아.주.황.색
이름야 이건 바람개비처럼 돌아가네요	이.름.야.이.건.바.람.개.비.처.럼.돌.아.가.네.요
어.여기 거울	어.여.기.거.울
그렇지.일어나서.아이고 이뻐라	그.렇.지.일.어.나.서.아.이.고.이.뻐.라
여기 누가 있나	여.기.누.가.있.나
누가 있나	누.가.있.나
거울 보려면 일어나야 돼	거.울.보.려.면.일.어.나.야.돼
안 되네	안.되.네
으랏차.으.잉	으.랏.차.으.잉
여기 누가 있어요	여.기.누.가.있.어.요
응	응
일어나	일.어.나
읏차	읏.차
읏쪼.읏짜	읏.쪼.읏.짜
요기 가서 놀아 보자	요.기.가.서.놀.아.보.자
어.이거 집에 있는 거랑 비슷하다	어.이.거.집.에.있.는.거.랑.비.슷.하.다
탑 쌓기	탑.쌓.기
응	응
요건 나무로 되어 있네	요.건.나.무.로.되.어.있.네
엄마 주세요.하나	엄.마.주.세.요.하.나
둘	둘
셋	셋
넷	넷
어.그거 먼저 끼울 거야	어.그.거.먼.저.끼.울.거.야
응	응
우와.장난감이 진짜 많네	우.와.장.난.감.이.진.짜.많.네
응.장난감이 너무 많아서 뭘 가지고 놀아야 될지 모르겠다	응.장.난.감.이.너.무.많.아.서.뭘.가.지.고.놀.아.야.될.지.모.르.겠.다
여기 레고 병정 비슷한 것도 있다	여.기.레.고.병.정.비.슷.한.것.도.있.다
얘는 코끼리	얘.는.코.끼.리
응	응
코끼리 코가.응.소리가 나는데	코.끼.리.코.가.응.소.리.가.나.는.데
발도	발.도
이름야 이거 뭐	이.름.야.이.거.뭐
이거.저거	이.거.저.거
어.얘는 원숭이	어.얘.는.원.숭.이
원숭이 소리난다	원.숭.이.소.리.난.다
으응	으.응
그렇지.끼우는 거 해 보자	그.렇.지.끼.우.는.거.해.보.자
이름야.어	이.름.야.어
어떻게 끼우지	어.떻.게.끼.우.지
이쪽으로도 끼울 수 있고	이.쪽.으.로.도.끼.울.수.있.고
이쪽으로도 끼울 수 있고	이.쪽.으.로.도.끼.울.수.있.고
응	응
이거 좋아	이.거.좋.아
얜 초록색	얜.초.록.색
파란색	파.란.색
고마워.엄마 주는 거야.다.응	고.마.워.엄.마.주.는.거.야.다.응
까만색	까.만.색
노란색	노.란.색
다시 이거 넣자	다.시.이.거.넣.자
와.그렇지	와.그.렇.지
거기다 놨어	거.기.다.놨.어
응	응
던졌네	던.졌.네
응	응
얘는 여기 타야지.그럼	얘.는.여.기.타.야.지.그.럼
그것도 여기 끼울 수 있을 것 같애	그.것.도.여.기.끼.울.수.있.을.것.같.애
응	응
한번 해 봐	한.번.해.봐
어.여기다.아니지	어.여.기.다.아.니.지
여기에 끼워 봐	여.기.에.끼.워.봐
응	응
엄마 이거 끼워 볼게	엄.마.이.거.끼.워.볼.게
으으응.여기에	으.으.응.여.기.에
이건 별로야	이.건.별.로.야
응	응
응	응
이거는 무슨 모양	이.거.는.무.슨.모.양
원뿔	원.뿔
어.얘가 원래 여기 위치 같은데	어.얘.가.원.래.여.기.위.치.같.은.데
이게 뭐예요	이.게.뭐.예.요
피망	피.망
어.굴러갔어	어.굴.러.갔.어
굴러라	굴.러.라
야채 바구니	야.채.바.구.니
어.촉감	어.촉.감
아이 좋아	아.이.좋.아
으음	으.음
이건 또 뭐지.소세진가	이.건.또.뭐.지.소.세.진.가
어	어
어	어
응	응
이름 머리 위에	이.름.머.리.위.에
우와 버섯도 있네	우.와.버.섯.도.있.네
어.요건 또 감촉이 또 달라	어.요.건.또.감.촉.이.또.달.라
어.만져 봐	어.만.져.봐
응	응
우와	우.와
그 안에 들어가고 싶어	그.안.에.들.어.가.고.싶.어
응	응
요 안에	요.안.에
뭔가 집 모양인데	뭔.가.집.모.양.인.데
엄마랑 가 볼까	엄.마.랑.가.볼.까
읏차	읏.차
오	오
주웠어.어	주.웠.어.어
엄마 줘서 고마워	엄.마.줘.서.고.마.워
