또 녹음하는 거	또|녹.음.하.는|거
자 오늘은 무슨 책을 읽을까	자|오.늘.은|무.슨|책.을|읽.을.까
우리 하양이 책 한번 더 읽을까	우.리|하.양.이|책|한.번|더|읽.을.까
어 그럼 우리 뭐 읽을	어|그.럼|우.리|뭐|읽.을
덤프 트럭 갖고 무슨 책 볼 건	덤.프|트.럭|갖.고|무.슨|책|볼|건
장난꾸러기 베	장.난.꾸.러.기|베
그럼 똑똑한 마벨	그.럼|똑.똑.한|마.벨
똑똑한 마벨	똑.똑.한|마.벨
옛날 옛날 옛적	옛.날|옛.날|옛.적
오 그래 호도가 있	오|그.래|호.도.가|있
어떤 동물은 똑똑하고 어떤 동물들은 어리석었단	어.떤|동.물.은|똑.똑.하.고|어.떤|동.물.들.은|어.리.석.었.단
고양이들은 똑똑했지 생쥐들은 대부분 어리석었	고.양.이.들.은|똑.똑.했.지|생.쥐.들.은|대.부.분|어.리.석.었
하지만 작은 생쥐 한마리만은 어리석지 않았	하.지.만|작.은|생.쥐|한.마.리.만.은|어.리.석.지|않.았
그 생쥐의 이름은 마벨라였	그|생.쥐.의|이.름.은|마.벨.라.였
이거 뭐	이.거|뭐
그래 그 생쥐의 이름은 마벨란데 아버지는 마벨라가 똑똑해지도록 가르쳤어	그.래|그|생.쥐.의|이.름.은|마.벨.란.데|아.버.지.는|마.벨.라.가|똑.똑.해.지.도.록|가.르.쳤.어
아빠는 마벨라에게 마벨라야 밖에 나가서 여기저기 다닐 때에는 귀 기울여 잘 들어	아.빠.는|마.벨.라.에.게|마.벨.라.야|밖.에|나.가.서|여.기.저.기|다.닐|때.에.는|귀|기.울.여|잘|들.어
밖에 나가서 여기저기 다닐 때에는 눈을 크고 주위를 살피고 누가 무슨 말을 하고 있는지 잘 생각하고 재빨리 움직여	밖.에|나.가.서|여.기.저.기|다.닐|때.에.는|눈.을|크.고|주.위.를|살.피.고|누.가|무.슨|말.을|하.고|있.는.지|잘|생.각.하.고|재.빨.리|움.직.여
느리게 움직이면 안 된다 했	느.리.게|움.직.이.면|안|된.다|했
어느날 고양이가 생쥐마을에 왔	어.느.날|고.양.이.가|생.쥐.마.을.에|왔
